task,algorithm,candidate,seed,best_cost,time_seconds,iterations,horizon,samples,randomizations,knots,spline,frequency,max_episode_steps,base_noise,parameters
humanoid_standup,mppi_cma,1,101,22.273189544677734,0.11330405063927174,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
humanoid_standup,mppi_cma,2,100,24.644929885864258,0.1185868657194078,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
humanoid_standup,mppi_cma,2,101,24.1420955657959,0.11458453675732017,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
humanoid_standup,cmaes,0,100,24.450843811035156,0.12568872887641191,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
humanoid_standup,cmaes,0,101,24.9899845123291,0.11834737099707127,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
humanoid_standup,cmaes,1,100,23.328449249267578,0.11782431975007057,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
humanoid_standup,cmaes,1,101,23.87771224975586,0.1184183917939663,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
humanoid_standup,cmaes,2,100,24.617246627807617,0.11869117524474859,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
humanoid_standup,cmaes,2,101,24.85260772705078,0.11837747087702155,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
humanoid_standup,cem,0,100,23.742197036743164,0.1207676948979497,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
humanoid_standup,cem,0,101,22.564552307128906,0.11608026595786214,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
humanoid_standup,cem,1,100,24.217926025390625,0.11289122700691223,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
humanoid_standup,cem,1,101,23.256174087524414,0.11272740317508578,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
