task,algorithm,candidate,seed,best_cost,time_seconds,iterations,horizon,samples,randomizations,knots,spline,frequency,max_episode_steps,base_noise,parameters
humanoid_standup,cem,1,101,23.474153518676758,0.11639193398877978,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
humanoid_standup,cem,2,100,24.089405059814453,0.1298948279581964,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
humanoid_standup,cem,2,101,24.723243713378906,0.11278408719226718,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
humanoid_standup,ps,0,100,23.825855255126953,0.1216437560506165,5,0.6,128,4,4,zero,50.0,30,0.3,{}
humanoid_standup,ps,0,101,21.605388641357422,0.11273498786613345,5,0.6,128,4,4,zero,50.0,30,0.3,{}
humanoid_standup,dial,0,100,22.29393768310547,0.12096404004842043,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
humanoid_standup,dial,0,101,23.326555252075195,0.11396152665838599,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
humanoid_standup,dial,1,100,24.036399841308594,0.11623717891052365,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
humanoid_standup,dial,1,101,24.261550903320312,0.11272562993690372,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
humanoid_standup,dial,2,100,25.130657196044922,0.130090338177979,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
humanoid_standup,dial,2,101,23.638046264648438,0.11231397930532694,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
pusht,cbo,0,100,0.46272405982017517,0.12470530392602086,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
pusht,cbo,0,101,0.5160748958587646,0.12544871680438519,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
pusht,cbo,1,100,0.510357141494751,0.12429843191057444,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
